TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;		0.014000;0;0;0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;		0.052000;64;0;0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;		0.052000;64;0;0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;		0.052000;64;0;0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;		0.057000;64;0;0
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;		0.053000;64;0;0
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;		0.058000;64;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;no;		0.052000;64;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;no;		0.052000;64;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;no;		0.052000;64;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;		0.333000;296;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;no;		0.051000;64;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;		0.335000;352;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_320;no;		0.051000;64;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;yes;		0.344000;464;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_512;no;		0.051000;64;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;no;		0.052000;64;0;0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_640;no;		0.051000;64;0;0
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;yes;		0.364000;324;33;33
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;yes;		0.368000;324;33;33
TYPE_KOREAN_SEED_TRANSIENT_RESET;yes;		0.165000;40;17;17
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;yes;		0.159000;40;17;17
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;yes;		0.141000;52;0;0
TYPE_HMAC_TRANSIENT_RESET;yes;		0.160000;40;9;9
TYPE_HMAC_TRANSIENT_DESELECT;yes;		0.160000;40;9;9
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;yes;		0.142000;44;0;0
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;yes;		0.142000;44;0;0
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;yes;		0.121000;44;0;0
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;yes;		0.118000;44;0;0

javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;yes;		0.203000;52;239;239
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;no;		0.014000;0;0;0
ALG_EC_SVDP_DH_PLAIN;yes;		0.197000;52;239;239
ALG_EC_SVDP_DHC_PLAIN;no;		0.014000;0;0;0
ALG_EC_PACE_GM;no;		0.014000;0;0;0
ALG_EC_SVDP_DH_PLAIN_XY;yes;		0.198000;52;239;239
ALG_DH_PLAIN;no;		0.014000;0;0;0
ALG_XDH;no;		0.014000;0;0;0
ALG_SM2;no;		0.013000;0;0;0

javacard.security.Checksum
ALG_ISO3309_CRC16;no;		0.014000;0;0;0
ALG_ISO3309_CRC32;no;		0.016000;0;0;0

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;yes;		0.504000;284;0;0
ALG_RSA LENGTH_RSA_736;no;		0.079000;20;0;0
ALG_RSA LENGTH_RSA_768;yes;		0.613000;380;0;0
ALG_RSA LENGTH_RSA_896;yes;		0.677000;428;0;0
ALG_RSA LENGTH_RSA_1024;yes;		0.762000;476;0;0
ALG_RSA LENGTH_RSA_1280;yes;		1.352000;572;0;0
ALG_RSA LENGTH_RSA_1536;yes;		4.527000;668;0;0
ALG_RSA LENGTH_RSA_1984;yes;		2.446000;836;0;0
ALG_RSA LENGTH_RSA_2048;yes;		1.048000;860;0;0
ALG_RSA LENGTH_RSA_3072;no;		0.084000;20;0;0
ALG_RSA LENGTH_RSA_4096;no;		0.077000;20;0;0

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;yes;		0.658000;424;0;0
ALG_RSA_CRT LENGTH_RSA_736;no;		0.086000;20;0;0
ALG_RSA_CRT LENGTH_RSA_768;yes;		0.716000;568;0;0
ALG_RSA_CRT LENGTH_RSA_896;yes;		0.903000;640;0;0
ALG_RSA_CRT LENGTH_RSA_1024;yes;		1.128000;712;0;0
ALG_RSA_CRT LENGTH_RSA_1280;yes;		2.207000;856;0;0
ALG_RSA_CRT LENGTH_RSA_1536;yes;		1.222000;1000;0;0
ALG_RSA_CRT LENGTH_RSA_1984;yes;		4.406000;1252;0;0
ALG_RSA_CRT LENGTH_RSA_2048;yes;		10.921000;1288;0;0
ALG_RSA_CRT LENGTH_RSA_3072;no;		0.079000;20;0;0
ALG_RSA_CRT LENGTH_RSA_4096;no;		0.076000;20;0;0

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;no;		0.032000;8;0;0
ALG_DSA LENGTH_DSA_768;no;		0.033000;8;0;0
ALG_DSA LENGTH_DSA_1024;no;		0.033000;8;0;0

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;		0.100000;84;0;0
ALG_EC_F2M LENGTH_EC_F2M_131;no;		0.090000;84;0;0
ALG_EC_F2M LENGTH_EC_F2M_163;no;		0.089000;84;0;0
ALG_EC_F2M LENGTH_EC_F2M_193;no;		0.090000;84;0;0

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;no;		0.091000;84;0;0
ALG_EC_FP LENGTH_EC_FP_128;no;		0.089000;84;0;0
ALG_EC_FP LENGTH_EC_FP_160;no;		0.091000;84;0;0
ALG_EC_FP LENGTH_EC_FP_192;yes;		1.259000;652;217;217
ALG_EC_FP LENGTH_EC_FP_224;no;		0.135000;84;0;0
ALG_EC_FP LENGTH_EC_FP_256;yes;		1.298000;772;217;217
ALG_EC_FP LENGTH_EC_FP_384;yes;		1.994000;1012;217;217
ALG_EC_FP LENGTH_EC_FP_521;no;		0.124000;84;0;0

javacardx.crypto.AEADCipher
CIPHER_AES_CCM;no;		0.014000;0;0;0
CIPHER_AES_GCM;no;		0.016000;0;0;0

javacard.framework.OwnerPINBuilder
OWNER_PIN;yes;		0.178000;56;1;1
OWNER_PIN_X;yes;		0.179000;56;1;1
OWNER_PIN_X_WITH_PREDECREMENT;yes;		0.169000;56;2;2

javacard.security.InitializedMessageDigest
ALG_SHA;yes;		0.112000;24;95;95
ALG_MD5;yes;		0.113000;24;91;91
ALG_RIPEMD160;no;		0.013000;0;0;0
ALG_SHA_256;yes;		0.109000;24;107;107
ALG_SHA_384;yes;		0.113000;24;211;211
ALG_SHA_512;yes;		0.108000;24;211;211
ALG_SHA_224;yes;		0.113000;24;107;107
ALG_SHA3_224;no;		0.014000;0;0;0
ALG_SHA3_256;no;		0.015000;0;0;0
ALG_SHA3_384;no;		0.015000;0;0;0
ALG_SHA3_512;no;		0.014000;0;0;0
ALG_SM3;no;		0.015000;0;0;0
ALG_NULL;no;		0.014000;0;0;0

javacardx.crypto.Cipher.OneShot
ALG_DES_CBC_NOPAD;no;		0.013000;0;0;0
ALG_DES_CBC_ISO9797_M1;no;		0.015000;0;0;0
ALG_DES_CBC_ISO9797_M2;no;		0.014000;0;0;0
ALG_DES_CBC_PKCS5;no;		0.014000;0;0;0
ALG_DES_ECB_NOPAD;no;		0.017000;0;0;0
ALG_DES_ECB_ISO9797_M1;no;		0.013000;0;0;0
ALG_DES_ECB_ISO9797_M2;no;		0.014000;0;0;0
ALG_DES_ECB_PKCS5;no;		0.016000;0;0;0
ALG_RSA_ISO14888;no;		0.014000;0;0;0
ALG_RSA_PKCS1;no;		0.013000;0;0;0
ALG_RSA_ISO9796;no;		0.012000;0;0;0
ALG_RSA_NOPAD;no;		0.016000;0;0;0
ALG_AES_BLOCK_128_CBC_NOPAD;no;		0.015000;0;0;0
ALG_AES_BLOCK_128_ECB_NOPAD;no;		0.013000;0;0;0
ALG_RSA_PKCS1_OAEP;no;		0.015000;0;0;0
ALG_KOREAN_SEED_ECB_NOPAD;no;		0.012000;0;0;0
ALG_KOREAN_SEED_CBC_NOPAD;no;		0.013000;0;0;0
ALG_AES_BLOCK_192_CBC_NOPAD;no;		0.013000;0;0;0
ALG_AES_BLOCK_192_ECB_NOPAD;no;		0.014000;0;0;0
ALG_AES_BLOCK_256_CBC_NOPAD;no;		0.014000;0;0;0
ALG_AES_BLOCK_256_ECB_NOPAD;no;		0.013000;0;0;0
ALG_AES_CBC_ISO9797_M1;no;		0.017000;0;0;0
ALG_AES_CBC_ISO9797_M2;no;		0.015000;0;0;0
ALG_AES_CBC_PKCS5;no;		0.014000;0;0;0
ALG_AES_ECB_ISO9797_M1;no;		0.013000;0;0;0
ALG_AES_ECB_ISO9797_M2;no;		0.012000;0;0;0
ALG_AES_ECB_PKCS5;no;		0.015000;0;0;0
ALG_AES_CFB;no;		0.018000;0;0;0
ALG_AES_XTS;no;		0.014000;0;0;0
ALG_AES_CTR;no;		0.016000;0;0;0
CIPHER_AES_CCM;no;		0.013000;0;0;0
CIPHER_AES_GCM;no;		0.014000;0;0;0

javacard.crypto.Signature.OneShot
ALG_DES_MAC4_NOPAD;no;		0.013000;0;0;0
ALG_DES_MAC8_NOPAD;no;		0.013000;0;0;0
